Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation
12:00:00 AM,10-10-2023,Tuesday,13,2,2,24,41,normal
12:15:00 AM,10-10-2023,Tuesday,14,1,1,36,52,normal
12:30:00 AM,10-10-2023,Tuesday,10,2,2,32,46,normal
12:45:00 AM,10-10-2023,Tuesday,10,2,2,36,50,normal
1:00:00 AM,10-10-2023,Tuesday,11,2,1,34,48,normal
1:15:00 AM,10-10-2023,Tuesday,15,1,1,39,56,normal
1:30:00 AM,10-10-2023,Tuesday,14,2,2,27,45,normal
1:45:00 AM,10-10-2023,Tuesday,13,2,1,20,36,normal
2:00:00 AM,10-10-2023,Tuesday,7,0,0,26,33,normal
2:15:00 AM,10-10-2023,Tuesday,13,0,0,34,47,normal
2:30:00 AM,10-10-2023,Tuesday,15,2,0,38,55,normal
2:45:00 AM,10-10-2023,Tuesday,5,2,0,37,44,normal
3:00:00 AM,10-10-2023,Tuesday,9,1,0,34,44,normal
3:15:00 AM,10-10-2023,Tuesday,8,0,2,35,45,normal
3:30:00 AM,10-10-2023,Tuesday,7,0,0,34,41,normal
3:45:00 AM,10-10-2023,Tuesday,10,1,2,38,51,normal
4:00:00 AM,10-10-2023,Tuesday,82,7,3,10,102,low
4:15:00 AM,10-10-2023,Tuesday,71,3,0,30,104,normal
4:30:00 AM,10-10-2023,Tuesday,89,10,2,10,111,low
4:45:00 AM,10-10-2023,Tuesday,77,3,0,18,98,low
5:00:00 AM,10-10-2023,Tuesday,90,2,0,22,114,normal
5:15:00 AM,10-10-2023,Tuesday,84,1,7,23,115,normal
5:30:00 AM,10-10-2023,Tuesday,88,8,6,10,112,normal
5:45:00 AM,10-10-2023,Tuesday,97,27,15,8,147,normal
6:00:00 AM,10-10-2023,Tuesday,107,10,24,11,152,normal
6:15:00 AM,10-10-2023,Tuesday,82,26,11,5,124,normal
6:30:00 AM,10-10-2023,Tuesday,93,16,24,10,143,normal
6:45:00 AM,10-10-2023,Tuesday,128,18,14,6,166,normal
7:00:00 AM,10-10-2023,Tuesday,110,19,12,14,155,normal
7:15:00 AM,10-10-2023,Tuesday,122,13,10,5,150,normal
7:30:00 AM,10-10-2023,Tuesday,92,14,16,12,134,normal
7:45:00 AM,10-10-2023,Tuesday,143,30,17,12,202,heavy
8:00:00 AM,10-10-2023,Tuesday,134,18,21,11,184,heavy
8:15:00 AM,10-10-2023,Tuesday,134,30,15,14,193,heavy
8:30:00 AM,10-10-2023,Tuesday,119,13,14,13,159,normal
8:45:00 AM,10-10-2023,Tuesday,139,12,22,13,186,heavy
9:00:00 AM,10-10-2023,Tuesday,73,9,14,17,113,normal
